,,mean,std,min,max,median,q1,q3
ClosedHH (Symbolic) (GT),Statistical::NoI,1.0,0.0,1.0,1.0,1.0,1.0,1.0
ClosedHH (Symbolic) (GT),Statistical::Total Step Density,0.366,0.221,0.031,1.0,0.281,0.219,0.469
ClosedHH (Symbolic) (GT),Statistical::Avg Voice Density,0.041,0.025,0.003,0.111,0.031,0.024,0.052
ClosedHH (Symbolic) (GT),Statistical::Lowness,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClosedHH (Symbolic) (GT),Statistical::Midness,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClosedHH (Symbolic) (GT),Statistical::Hiness,1.0,0.0,1.0,1.0,1.0,1.0,1.0
ClosedHH (Symbolic) (GT),Statistical::Vel Similarity Score,0.774,0.313,0.0,1.0,0.903,0.8,0.947
ClosedHH (Symbolic) (GT),Statistical::Weak to Strong Ratio,2.772,8.298,0.0,112.235,0.672,0.0,1.847
ClosedHH (Symbolic) (GT),Statistical::Poly Velocity Mean,0.53,0.173,0.134,1.0,0.497,0.414,0.622
ClosedHH (Symbolic) (GT),Statistical::Poly Velocity std,0.159,0.101,0.0,0.432,0.155,0.067,0.24
ClosedHH (Symbolic) (GT),Statistical::Poly Offset Mean,-0.081,0.127,-0.475,0.442,-0.086,-0.16,-0.001
ClosedHH (Symbolic) (GT),Statistical::Poly Offset std,0.136,0.091,0.0,0.441,0.105,0.074,0.176
ClosedHH (Symbolic) (GT),Syncopation::Combined,0.245,0.226,0.0,1.2,0.2,0.033,0.433
ClosedHH (Symbolic) (GT),Syncopation::Polyphonic,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClosedHH (Symbolic) (GT),Syncopation::Lowsync,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClosedHH (Symbolic) (GT),Syncopation::Midsync,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClosedHH (Symbolic) (GT),Syncopation::Hisync,0.187,0.171,0.0,0.933,0.167,0.033,0.333
ClosedHH (Symbolic) (GT),Syncopation::Lowsyness,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClosedHH (Symbolic) (GT),Syncopation::Midsyness,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClosedHH (Symbolic) (GT),Syncopation::Hisyness,0.018,0.017,0.0,0.1,0.013,0.004,0.033
ClosedHH (Symbolic) (GT),Syncopation::Complexity,0.477,0.258,0.031,1.3,0.479,0.252,0.625
ClosedHH (Symbolic) (GT),Auto-Correlation::Skewness,2.127,1.011,0.092,5.388,1.971,1.535,2.498
ClosedHH (Symbolic) (GT),Auto-Correlation::Max,3.879,3.082,0.018,18.266,3.219,1.643,5.212
ClosedHH (Symbolic) (GT),Auto-Correlation::Centroid,8.153,2.279,0.0,11.312,8.891,7.848,9.46
ClosedHH (Symbolic) (GT),Auto-Correlation::Harmonicity,0.248,0.296,0.001,1.0,0.116,0.036,0.331
ClosedHH (Symbolic) (GT),Micro-Timing::Swingness,0.21,0.323,0.0,1.0,0.0,0.0,0.312
ClosedHH (Symbolic) (GT),Micro-Timing::Laidbackness,0.1,0.224,-0.625,0.875,0.0,0.0,0.25
ClosedHH (Symbolic) (GT),Micro-Timing::Accuracy,0.172,0.098,0.0,0.483,0.148,0.097,0.226
ClosedHH (Symbolic),Statistical::NoI,0.999,0.038,0.0,1.0,1.0,1.0,1.0
ClosedHH (Symbolic),Statistical::Total Step Density,0.481,0.282,0.0,1.0,0.406,0.25,0.75
ClosedHH (Symbolic),Statistical::Avg Voice Density,0.053,0.031,0.0,0.111,0.045,0.028,0.083
