,,Infilling ClosedHH (Symbolic),,,,Infilling ClosedHH,,,,Infilling Kick and Snare,,,,Infilling Random (Low),,,,Infilling Random (High),,,
,,Ground Truth,,Prediction,,Ground Truth,,Prediction,,Ground Truth,,Prediction,,Ground Truth,,Prediction,,Ground Truth,,Prediction,
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
ClosedHH (Symbolic) (GT),Statistical::NoI,1.00,0.00,1.00,0.04,1.00,0.00,1.00,0.00,1.35,0.48,1.41,0.50,2.93,1.11,1.97,1.03,3.91,1.17,3.02,0.83
ClosedHH (Symbolic) (GT),Statistical::Total Step Density,0.37,0.22,0.48,0.28,0.36,0.22,0.47,0.27,0.38,0.24,0.39,0.26,0.20,0.11,0.12,0.09,0.48,0.18,0.42,0.20
ClosedHH (Symbolic) (GT),Statistical::Avg Voice Density,0.04,0.03,0.05,0.03,0.04,0.02,0.05,0.03,0.04,0.03,0.05,0.03,0.02,0.01,0.02,0.01,0.07,0.03,0.06,0.03
ClosedHH (Symbolic) (GT),Statistical::Lowness,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.42,0.42,0.41,0.23,0.21,0.20,0.27,0.23,0.13,0.23,0.17
ClosedHH (Symbolic) (GT),Statistical::Midness,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.42,0.58,0.41,0.37,0.28,0.34,0.33,0.36,0.21,0.33,0.24
ClosedHH (Symbolic) (GT),Statistical::Hiness,1.00,0.00,1.00,0.04,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.40,0.30,0.36,0.34,0.39,0.24,0.42,0.26
ClosedHH (Symbolic) (GT),Statistical::Vel Similarity Score,0.77,0.31,0.94,0.11,0.78,0.31,0.95,0.03,0.83,0.28,0.91,0.18,0.33,0.44,0.23,0.40,0.80,0.30,0.83,0.30
ClosedHH (Symbolic) (GT),Statistical::Weak to Strong Ratio,2.77,8.30,1.12,1.49,2.57,6.75,1.71,2.68,2.16,6.33,1.07,2.12,1.84,3.05,1.13,2.50,1.83,2.18,1.43,1.98
ClosedHH (Symbolic) (GT),Statistical::Poly Velocity Mean,0.53,0.17,0.46,0.06,0.53,0.17,0.45,0.07,0.61,0.25,0.46,0.15,0.59,0.20,0.40,0.19,0.60,0.17,0.43,0.12
ClosedHH (Symbolic) (GT),Statistical::Poly Velocity std,0.16,0.10,0.09,0.04,0.16,0.10,0.09,0.03,0.16,0.11,0.15,0.07,0.20,0.10,0.12,0.09,0.23,0.07,0.16,0.06
ClosedHH (Symbolic) (GT),Statistical::Poly Offset Mean,-0.08,0.13,-0.07,0.03,-0.08,0.13,-0.11,0.03,-0.07,0.11,-0.02,0.03,-0.07,0.13,-0.02,0.01,-0.07,0.10,-0.04,0.02
ClosedHH (Symbolic) (GT),Statistical::Poly Offset std,0.14,0.09,0.02,0.01,0.14,0.09,0.03,0.01,0.15,0.09,0.02,0.01,0.14,0.09,0.01,0.01,0.16,0.08,0.02,0.01
ClosedHH (Symbolic) (GT),Syncopation::Combined,0.25,0.23,0.15,0.17,0.25,0.22,0.16,0.16,0.31,0.27,0.24,0.27,0.26,0.19,0.15,0.17,0.59,0.33,0.43,0.33
ClosedHH (Symbolic) (GT),Syncopation::Polyphonic,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.25,0.12,0.19,0.17,0.20,0.08,0.13,0.48,0.31,0.35,0.31
ClosedHH (Symbolic) (GT),Syncopation::Lowsync,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.13,0.03,0.06,0.04,0.06,0.02,0.04,0.10,0.09,0.06,0.07
ClosedHH (Symbolic) (GT),Syncopation::Midsync,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.20,0.17,0.21,0.08,0.10,0.06,0.10,0.17,0.16,0.15,0.18
ClosedHH (Symbolic) (GT),Syncopation::Hisync,0.19,0.17,0.11,0.12,0.19,0.17,0.12,0.11,0.00,0.00,0.00,0.00,0.07,0.08,0.04,0.06,0.15,0.14,0.12,0.12
ClosedHH (Symbolic) (GT),Syncopation::Lowsyness,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.01,0.02,0.03,0.01,0.02,0.02,0.02,0.02,0.02
ClosedHH (Symbolic) (GT),Syncopation::Midsyness,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02
ClosedHH (Symbolic) (GT),Syncopation::Hisyness,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02
ClosedHH (Symbolic) (GT),Syncopation::Complexity,0.48,0.26,0.55,0.26,0.47,0.25,0.53,0.25,0.51,0.32,0.49,0.34,0.34,0.21,0.20,0.18,0.77,0.35,0.62,0.36
ClosedHH (Symbolic) (GT),Auto-Correlation::Skewness,2.13,1.01,1.37,0.95,2.13,1.00,1.37,0.85,2.59,1.00,2.36,1.09,4.60,0.59,4.27,1.43,3.77,0.79,3.40,0.96
ClosedHH (Symbolic) (GT),Auto-Correlation::Max,3.88,3.08,3.42,2.05,3.78,2.96,3.11,2.07,4.99,3.74,3.03,2.09,2.75,1.81,0.95,0.85,7.57,3.68,3.39,1.87
ClosedHH (Symbolic) (GT),Auto-Correlation::Centroid,8.15,2.28,9.16,1.10,8.19,2.23,9.13,0.72,8.05,1.85,8.11,1.79,3.97,2.65,4.33,4.43,7.03,1.87,7.10,2.21
ClosedHH (Symbolic) (GT),Auto-Correlation::Harmonicity,0.25,0.30,,,0.25,0.29,0.20,0.30,0.33,0.28,,,0.81,0.22,,,0.44,0.25,,
ClosedHH (Symbolic) (GT),Micro-Timing::Swingness,0.21,0.32,0.00,0.01,0.21,0.33,0.00,0.00,0.23,0.29,0.03,0.04,0.19,0.29,0.00,0.01,0.29,0.30,0.01,0.02
ClosedHH (Symbolic) (GT),Micro-Timing::Laidbackness,0.10,0.22,0.09,0.13,0.10,0.22,0.23,0.16,-0.04,0.15,-0.01,0.03,0.01,0.10,0.00,0.01,0.01,0.18,0.01,0.05
ClosedHH (Symbolic) (GT),Micro-Timing::Accuracy,,,,,,,0.11,0.03,,,,,,,,,0.16,0.08,,
