,,mean,std,min,max,median,q1,q3
ClosedHH (Symbolic) (GT),Statistical::Total Step Density,0.366,0.221,0.031,1.0,0.281,0.219,0.469
ClosedHH (Symbolic) (GT),Statistical::Avg Voice Density,0.041,0.025,0.003,0.111,0.031,0.024,0.052
ClosedHH (Symbolic) (GT),Statistical::Vel Similarity Score,0.774,0.313,0.0,1.0,0.903,0.8,0.947
ClosedHH (Symbolic) (GT),Statistical::Weak to Strong Ratio,2.772,8.298,0.0,112.235,0.672,0.0,1.847
ClosedHH (Symbolic) (GT),Syncopation::Lowsync,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClosedHH (Symbolic) (GT),Syncopation::Midsync,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClosedHH (Symbolic) (GT),Syncopation::Hisync,0.187,0.171,0.0,0.933,0.167,0.033,0.333
ClosedHH (Symbolic) (GT),Micro-Timing::Swingness,0.21,0.323,0.0,1.0,0.0,0.0,0.312
ClosedHH (Symbolic),Statistical::Total Step Density,0.481,0.282,0.0,1.0,0.406,0.25,0.75
ClosedHH (Symbolic),Statistical::Avg Voice Density,0.053,0.031,0.0,0.111,0.045,0.028,0.083
ClosedHH (Symbolic),Statistical::Vel Similarity Score,0.941,0.11,0.0,0.999,0.96,0.942,0.972
ClosedHH (Symbolic),Statistical::Weak to Strong Ratio,1.123,1.493,0.0,17.539,0.892,0.0,1.796
ClosedHH (Symbolic),Syncopation::Lowsync,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClosedHH (Symbolic),Syncopation::Midsync,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClosedHH (Symbolic),Syncopation::Hisync,0.111,0.123,0.0,0.567,0.067,0.0,0.167
ClosedHH (Symbolic),Micro-Timing::Swingness,0.003,0.008,0.0,0.096,0.0,0.0,0.0
ClosedHH (GT),Statistical::Total Step Density,0.363,0.22,0.031,1.0,0.281,0.219,0.469
ClosedHH (GT),Statistical::Avg Voice Density,0.04,0.024,0.003,0.111,0.031,0.024,0.052
ClosedHH (GT),Statistical::Vel Similarity Score,0.777,0.311,0.0,1.0,0.905,0.805,0.948
ClosedHH (GT),Statistical::Weak to Strong Ratio,2.566,6.749,0.0,97.409,0.658,0.0,1.844
ClosedHH (GT),Syncopation::Lowsync,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClosedHH (GT),Syncopation::Midsync,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClosedHH (GT),Syncopation::Hisync,0.187,0.168,0.0,0.933,0.167,0.033,0.333
ClosedHH (GT),Micro-Timing::Swingness,0.214,0.326,0.0,1.0,0.0,0.0,0.358
ClosedHH,Statistical::Total Step Density,0.466,0.267,0.125,1.0,0.375,0.25,0.656
ClosedHH,Statistical::Avg Voice Density,0.052,0.03,0.014,0.111,0.042,0.028,0.073
ClosedHH,Statistical::Vel Similarity Score,0.954,0.033,0.0,0.998,0.957,0.943,0.969
ClosedHH,Statistical::Weak to Strong Ratio,1.709,2.679,0.0,15.65,0.901,0.0,2.2
ClosedHH,Syncopation::Lowsync,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClosedHH,Syncopation::Midsync,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClosedHH,Syncopation::Hisync,0.116,0.114,0.0,0.4,0.067,0.0,0.2
ClosedHH,Micro-Timing::Swingness,0.0,0.001,0.0,0.019,0.0,0.0,0.0
Kicks & Snares (GT),Statistical::Total Step Density,0.375,0.236,0.031,1.0,0.312,0.219,0.5
Kicks & Snares (GT),Statistical::Avg Voice Density,0.044,0.031,0.003,0.167,0.035,0.024,0.056
Kicks & Snares (GT),Statistical::Vel Similarity Score,0.829,0.278,0.0,1.0,0.933,0.843,0.976
Kicks & Snares (GT),Statistical::Weak to Strong Ratio,2.157,6.33,0.0,234.6,1.132,0.307,2.295
Kicks & Snares (GT),Syncopation::Lowsync,0.105,0.127,0.0,0.567,0.067,0.0,0.2
Kicks & Snares (GT),Syncopation::Midsync,0.147,0.197,0.0,0.933,0.033,0.0,0.267
Kicks & Snares (GT),Syncopation::Hisync,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kicks & Snares (GT),Micro-Timing::Swingness,0.226,0.289,0.0,1.583,0.083,0.0,0.403
Kicks & Snares,Statistical::Total Step Density,0.389,0.264,0.0,1.0,0.281,0.188,0.531
Kicks & Snares,Statistical::Avg Voice Density,0.046,0.033,0.0,0.17,0.035,0.021,0.059
Kicks & Snares,Statistical::Vel Similarity Score,0.907,0.177,0.0,1.0,0.952,0.912,0.975
Kicks & Snares,Statistical::Weak to Strong Ratio,1.069,2.117,0.0,44.346,0.438,0.0,1.228
Kicks & Snares,Syncopation::Lowsync,0.025,0.06,0.0,0.433,0.0,0.0,0.0
