,Ground Truth,Ground Truth,ClosedHH,ClosedHH,ClosedHH,ClosedHH,Kicks & Snares,Kicks & Snares,Kicks & Snares,Kicks & Snares
,Intra-set,Intra-set,Intra-set,Intra-set,Inter-set,Inter-set,Intra-set,Intra-set,Inter-set,Inter-set
,mean,STD,mean,STD,KL,OA,mean,STD,KL,OA
Total Step Density,0.254,0.185,0.222,0.165,0.001,0.946,0.263,0.195,0.003,0.939
Avg Voice Density,0.045,0.033,0.039,0.029,0.014,0.949,0.048,0.035,0.001,0.944
Vel Similarity Score,0.246,0.308,0.051,0.044,0.068,0.754,0.112,0.223,0.039,0.78
Weak to Strong Ratio,1.222,1.378,1.021,1.184,0.006,0.905,0.936,0.789,0.011,0.91
Lowsync,0.124,0.093,0.124,0.093,0.0,0.94,0.029,0.051,0.027,0.839
Midsync,0.19,0.151,0.19,0.151,0.0,0.94,0.25,0.209,0.055,0.876
Hisync,0.157,0.164,0.097,0.083,0.022,0.853,0.157,0.164,0.0,0.915
Swingness,0.323,0.234,0.326,0.239,0.0,0.95,0.2,0.233,0.016,0.89
