,Ground Truth,Ground Truth,Random (Low),Random (Low),Random (Low),Random (Low),Random (High),Random (High),Random (High),Random (High)
,Intra-set,Intra-set,Intra-set,Intra-set,Inter-set,Inter-set,Intra-set,Intra-set,Inter-set,Inter-set
,mean,STD,mean,STD,KL,OA,mean,STD,KL,OA
Total Step Density,0.254,0.185,0.247,0.178,0.004,0.934,0.282,0.201,0.006,0.929
Avg Voice Density,0.045,0.033,0.042,0.031,0.002,0.958,0.045,0.033,0.004,0.958
Vel Similarity Score,0.246,0.308,0.282,0.328,0.005,0.85,0.195,0.275,0.009,0.842
Weak to Strong Ratio,1.222,1.378,1.275,1.614,0.09,0.912,1.121,0.899,0.012,0.912
Lowsync,0.124,0.093,0.123,0.095,0.031,0.931,0.109,0.085,0.003,0.919
Midsync,0.19,0.151,0.185,0.143,0.021,0.927,0.208,0.171,0.007,0.913
Hisync,0.157,0.164,0.142,0.149,0.003,0.899,0.137,0.145,0.022,0.89
Swingness,0.323,0.234,0.323,0.241,0.001,0.947,0.295,0.275,0.011,0.908
