,Ground Truth,Ground Truth,Random (Low),Random (Low),Random (Low),Random (Low),Random (High),Random (High),Random (High),Random (High)
,Intra-set,Intra-set,Intra-set,Intra-set,Inter-set,Inter-set,Intra-set,Intra-set,Inter-set,Inter-set
,mean,STD,mean,STD,KL,OA,mean,STD,KL,OA
Total Step Density,0.254,0.185,0.247,0.178,0.001,0.946,0.254,0.182,0.005,0.937
Avg Voice Density,0.045,0.033,0.041,0.031,0.001,0.951,0.04,0.03,0.008,0.94
Vel Similarity Score,0.246,0.308,0.254,0.308,0.004,0.865,0.168,0.235,0.016,0.834
Weak to Strong Ratio,1.222,1.378,1.221,1.308,0.002,0.932,1.02,1.03,0.005,0.921
Lowsync,0.124,0.093,0.115,0.092,0.001,0.923,0.109,0.083,0.003,0.923
Midsync,0.19,0.151,0.193,0.152,0.006,0.93,0.224,0.179,0.049,0.897
Hisync,0.157,0.164,0.155,0.16,0.001,0.904,0.13,0.145,0.007,0.876
Swingness,0.323,0.234,0.329,0.251,0.002,0.943,0.31,0.288,0.009,0.906
