,Ground Truth,Ground Truth,Random (Low),Random (Low),Random (Low),Random (Low),Random (High),Random (High),Random (High),Random (High)
,Intra-set,Intra-set,Intra-set,Intra-set,Inter-set,Inter-set,Intra-set,Intra-set,Inter-set,Inter-set
,mean,STD,mean,STD,KL,OA,mean,STD,KL,OA
Total Step Density,0.254,0.185,0.249,0.179,0.002,0.943,0.265,0.189,0.009,0.921
Avg Voice Density,0.045,0.033,0.042,0.031,0.001,0.954,0.044,0.033,0.004,0.958
Vel Similarity Score,0.246,0.308,0.24,0.296,0.003,0.868,0.193,0.274,0.009,0.842
Weak to Strong Ratio,1.222,1.378,1.274,1.853,0.185,0.916,1.132,1.039,0.007,0.918
Lowsync,0.124,0.093,0.117,0.09,0.001,0.928,0.102,0.081,0.004,0.91
Midsync,0.19,0.151,0.181,0.138,0.022,0.923,0.209,0.171,0.006,0.896
Hisync,0.157,0.164,0.141,0.145,0.004,0.899,0.13,0.121,0.006,0.893
Swingness,0.323,0.234,0.309,0.233,0.002,0.942,0.274,0.268,0.009,0.913
