,Ground Truth,Ground Truth,Random (Low),Random (Low),Random (Low),Random (Low),Random (High),Random (High),Random (High),Random (High)
,Intra-set,Intra-set,Intra-set,Intra-set,Inter-set,Inter-set,Intra-set,Intra-set,Inter-set,Inter-set
,mean,STD,mean,STD,KL,OA,mean,STD,KL,OA
Total Step Density,0.254,0.185,0.264,0.189,0.005,0.937,0.285,0.205,0.002,0.932
Avg Voice Density,0.045,0.033,0.043,0.032,0.004,0.958,0.044,0.032,0.007,0.957
Vel Similarity Score,0.246,0.308,0.239,0.303,0.003,0.868,0.198,0.288,0.011,0.833
Weak to Strong Ratio,1.222,1.378,1.312,1.328,0.005,0.918,1.184,1.321,0.013,0.916
Lowsync,0.124,0.093,0.109,0.083,0.004,0.911,0.11,0.085,0.004,0.916
Midsync,0.19,0.151,0.186,0.141,0.002,0.934,0.198,0.16,0.011,0.923
Hisync,0.157,0.164,0.155,0.153,0.004,0.898,0.139,0.146,0.005,0.887
Swingness,0.323,0.234,0.34,0.264,0.092,0.944,0.286,0.261,0.008,0.916
