,Ground Truth,Ground Truth,Random (Low),Random (Low),Random (Low),Random (Low),Random (High),Random (High),Random (High),Random (High)
,Intra-set,Intra-set,Intra-set,Intra-set,Inter-set,Inter-set,Intra-set,Intra-set,Inter-set,Inter-set
,mean,STD,mean,STD,KL,OA,mean,STD,KL,OA
Total Step Density,0.254,0.185,0.243,0.174,0.005,0.926,0.258,0.184,0.003,0.949
Avg Voice Density,0.045,0.033,0.041,0.031,0.003,0.951,0.043,0.032,0.001,0.962
Vel Similarity Score,0.246,0.308,0.247,0.293,0.004,0.861,0.186,0.268,0.011,0.842
Weak to Strong Ratio,1.222,1.378,1.254,1.385,0.01,0.92,1.286,1.449,0.015,0.914
Lowsync,0.124,0.093,0.11,0.086,0.003,0.919,0.104,0.084,0.003,0.916
Midsync,0.19,0.151,0.192,0.154,0.001,0.929,0.22,0.173,0.004,0.898
Hisync,0.157,0.164,0.144,0.156,0.003,0.894,0.146,0.149,0.003,0.896
Swingness,0.323,0.234,0.337,0.249,0.002,0.941,0.262,0.25,0.007,0.916
