,Ground Truth,Ground Truth,Random (Low),Random (Low),Random (Low),Random (Low),Random (High),Random (High),Random (High),Random (High)
,Intra-set,Intra-set,Intra-set,Intra-set,Inter-set,Inter-set,Intra-set,Intra-set,Inter-set,Inter-set
,mean,STD,mean,STD,KL,OA,mean,STD,KL,OA
Total Step Density,0.254,0.185,0.259,0.187,0.002,0.943,0.287,0.206,0.007,0.919
Avg Voice Density,0.045,0.033,0.046,0.034,0.001,0.954,0.046,0.033,0.006,0.957
Vel Similarity Score,0.246,0.308,0.26,0.312,0.004,0.858,0.159,0.233,0.016,0.828
Weak to Strong Ratio,1.222,1.378,1.186,1.098,0.007,0.922,1.228,1.137,0.009,0.91
Lowsync,0.124,0.093,0.126,0.097,0.001,0.929,0.121,0.093,0.001,0.931
Midsync,0.19,0.151,0.194,0.153,0.001,0.927,0.228,0.191,0.088,0.888
Hisync,0.157,0.164,0.145,0.159,0.006,0.896,0.151,0.161,0.005,0.896
Swingness,0.323,0.234,0.335,0.251,0.002,0.945,0.34,0.298,0.071,0.904
