,Ground Truth,Ground Truth,Random (Low),Random (Low),Random (Low),Random (Low),Random (High),Random (High),Random (High),Random (High)
,Intra-set,Intra-set,Intra-set,Intra-set,Inter-set,Inter-set,Intra-set,Intra-set,Inter-set,Inter-set
,mean,STD,mean,STD,KL,OA,mean,STD,KL,OA
Total Step Density,0.254,0.185,0.249,0.178,0.002,0.94,0.262,0.186,0.005,0.935
Avg Voice Density,0.045,0.033,0.043,0.032,0.001,0.955,0.044,0.032,0.001,0.958
Vel Similarity Score,0.246,0.308,0.282,0.341,0.006,0.846,0.184,0.268,0.017,0.833
Weak to Strong Ratio,1.222,1.378,1.196,1.3,0.002,0.929,1.157,1.049,0.01,0.913
Lowsync,0.124,0.093,0.114,0.089,0.003,0.918,0.117,0.091,0.001,0.924
Midsync,0.19,0.151,0.18,0.145,0.002,0.927,0.229,0.187,0.036,0.893
Hisync,0.157,0.164,0.15,0.161,0.003,0.889,0.141,0.146,0.007,0.895
Swingness,0.323,0.234,0.33,0.243,0.001,0.951,0.275,0.242,0.004,0.928
