,Ground Truth,Ground Truth,Random (Low),Random (Low),Random (Low),Random (Low),Random (High),Random (High),Random (High),Random (High)
,Intra-set,Intra-set,Intra-set,Intra-set,Inter-set,Inter-set,Intra-set,Intra-set,Inter-set,Inter-set
,mean,STD,mean,STD,KL,OA,mean,STD,KL,OA
Total Step Density,0.254,0.185,0.255,0.184,0.002,0.945,0.284,0.204,0.004,0.924
Avg Voice Density,0.045,0.033,0.044,0.033,0.005,0.958,0.046,0.034,0.004,0.956
Vel Similarity Score,0.246,0.308,0.258,0.308,0.005,0.866,0.17,0.245,0.011,0.838
Weak to Strong Ratio,1.222,1.378,1.248,1.249,0.005,0.922,1.088,0.883,0.011,0.912
Lowsync,0.124,0.093,0.12,0.094,0.013,0.927,0.12,0.098,0.002,0.922
Midsync,0.19,0.151,0.177,0.149,0.07,0.917,0.232,0.2,0.071,0.899
Hisync,0.157,0.164,0.159,0.168,0.001,0.905,0.136,0.135,0.004,0.892
Swingness,0.323,0.234,0.333,0.25,0.009,0.945,0.306,0.281,0.013,0.903
