,Ground Truth,Ground Truth,Random (Low),Random (Low),Random (Low),Random (Low),Random (High),Random (High),Random (High),Random (High)
,Intra-set,Intra-set,Intra-set,Intra-set,Inter-set,Inter-set,Intra-set,Intra-set,Inter-set,Inter-set
,mean,STD,mean,STD,KL,OA,mean,STD,KL,OA
Total Step Density,0.254,0.185,0.251,0.18,0.005,0.938,0.276,0.197,0.004,0.934
Avg Voice Density,0.045,0.033,0.042,0.032,0.003,0.955,0.047,0.035,0.002,0.954
Vel Similarity Score,0.246,0.308,0.258,0.316,0.005,0.856,0.191,0.266,0.012,0.844
Weak to Strong Ratio,1.222,1.378,1.195,1.123,0.012,0.917,1.507,3.154,0.52,0.877
Lowsync,0.124,0.093,0.113,0.086,0.003,0.921,0.115,0.092,0.002,0.925
Midsync,0.19,0.151,0.186,0.147,0.001,0.927,0.219,0.175,0.01,0.906
Hisync,0.157,0.164,0.15,0.159,0.006,0.894,0.133,0.154,0.006,0.875
Swingness,0.323,0.234,0.32,0.237,0.001,0.947,0.321,0.299,0.069,0.913
