,Ground Truth,Ground Truth,Random (Low),Random (Low),Random (Low),Random (Low),Random (High),Random (High),Random (High),Random (High)
,Intra-set,Intra-set,Intra-set,Intra-set,Inter-set,Inter-set,Intra-set,Intra-set,Inter-set,Inter-set
,mean,STD,mean,STD,KL,OA,mean,STD,KL,OA
Total Step Density,0.254,0.185,0.238,0.172,0.005,0.923,0.273,0.196,0.009,0.935
Avg Voice Density,0.045,0.033,0.041,0.031,0.002,0.953,0.044,0.032,0.01,0.954
Vel Similarity Score,0.246,0.308,0.242,0.289,0.006,0.856,0.158,0.243,0.018,0.826
Weak to Strong Ratio,1.222,1.378,1.49,2.336,0.147,0.902,1.131,0.937,0.012,0.911
Lowsync,0.124,0.093,0.104,0.08,0.009,0.903,0.122,0.096,0.002,0.924
Midsync,0.19,0.151,0.197,0.152,0.011,0.926,0.196,0.159,0.021,0.924
Hisync,0.157,0.164,0.151,0.163,0.002,0.902,0.137,0.143,0.004,0.898
Swingness,0.323,0.234,0.335,0.249,0.009,0.945,0.287,0.261,0.009,0.925
