,Ground Truth,Ground Truth,Random (Low),Random (Low),Random (Low),Random (Low),Random (High),Random (High),Random (High),Random (High)
,Intra-set,Intra-set,Intra-set,Intra-set,Inter-set,Inter-set,Intra-set,Intra-set,Inter-set,Inter-set
,mean,STD,mean,STD,KL,OA,mean,STD,KL,OA
Total Step Density,0.254,0.185,0.249,0.181,0.004,0.936,0.277,0.196,0.005,0.922
Avg Voice Density,0.045,0.033,0.042,0.031,0.002,0.954,0.044,0.032,0.002,0.957
Vel Similarity Score,0.246,0.308,0.285,0.331,0.006,0.848,0.202,0.278,0.006,0.852
Weak to Strong Ratio,1.222,1.378,1.247,1.694,0.132,0.916,1.083,0.876,0.011,0.916
Lowsync,0.124,0.093,0.114,0.086,0.003,0.921,0.11,0.085,0.002,0.924
Midsync,0.19,0.151,0.186,0.155,0.043,0.927,0.211,0.174,0.106,0.907
Hisync,0.157,0.164,0.146,0.156,0.002,0.896,0.133,0.135,0.005,0.883
Swingness,0.323,0.234,0.328,0.247,0.001,0.944,0.281,0.247,0.004,0.925
