,Ground Truth,Ground Truth,Random (Low),Random (Low),Random (Low),Random (Low),Random (High),Random (High),Random (High),Random (High)
,Intra-set,Intra-set,Intra-set,Intra-set,Inter-set,Inter-set,Intra-set,Intra-set,Inter-set,Inter-set
,mean,STD,mean,STD,KL,OA,mean,STD,KL,OA
Total Step Density,0.254,0.185,0.262,0.187,0.003,0.94,0.294,0.212,0.005,0.922
Avg Voice Density,0.045,0.033,0.044,0.033,0.001,0.958,0.047,0.034,0.004,0.952
Vel Similarity Score,0.246,0.308,0.267,0.314,0.007,0.858,0.221,0.289,0.004,0.862
Weak to Strong Ratio,1.222,1.378,1.542,3.743,0.706,0.867,1.195,1.246,0.003,0.924
Lowsync,0.124,0.093,0.111,0.083,0.003,0.922,0.111,0.086,0.002,0.924
Midsync,0.19,0.151,0.187,0.146,0.001,0.932,0.206,0.164,0.016,0.922
Hisync,0.157,0.164,0.148,0.148,0.003,0.898,0.154,0.168,0.015,0.891
Swingness,0.323,0.234,0.326,0.245,0.001,0.943,0.248,0.237,0.006,0.917
