,Ground Truth,Ground Truth,Random (Low),Random (Low),Random (Low),Random (Low),Random (High),Random (High),Random (High),Random (High)
,Intra-set,Intra-set,Intra-set,Intra-set,Inter-set,Inter-set,Intra-set,Intra-set,Inter-set,Inter-set
,mean,STD,mean,STD,KL,OA,mean,STD,KL,OA
Total Step Density,0.254,0.185,0.244,0.176,0.003,0.937,0.269,0.192,0.003,0.932
Avg Voice Density,0.045,0.033,0.041,0.031,0.002,0.956,0.044,0.033,0.004,0.956
Vel Similarity Score,0.246,0.308,0.317,0.352,0.014,0.821,0.164,0.246,0.02,0.824
Weak to Strong Ratio,1.222,1.378,1.331,1.917,0.183,0.911,1.077,0.92,0.01,0.914
Lowsync,0.124,0.093,0.114,0.085,0.003,0.919,0.102,0.078,0.006,0.911
Midsync,0.19,0.151,0.191,0.158,0.054,0.929,0.204,0.166,0.021,0.913
Hisync,0.157,0.164,0.157,0.157,0.003,0.896,0.127,0.137,0.007,0.874
Swingness,0.323,0.234,0.322,0.243,0.001,0.945,0.278,0.249,0.01,0.925
