,Ground Truth,Ground Truth,Random (Low),Random (Low),Random (Low),Random (Low),Random (High),Random (High),Random (High),Random (High)
,Intra-set,Intra-set,Intra-set,Intra-set,Inter-set,Inter-set,Intra-set,Intra-set,Inter-set,Inter-set
,mean,STD,mean,STD,KL,OA,mean,STD,KL,OA
Total Step Density,0.254,0.185,0.25,0.179,0.002,0.936,0.261,0.185,0.004,0.939
Avg Voice Density,0.045,0.033,0.043,0.032,0.001,0.956,0.044,0.032,0.001,0.958
Vel Similarity Score,0.246,0.308,0.276,0.331,0.005,0.852,0.186,0.256,0.008,0.847
Weak to Strong Ratio,1.222,1.378,1.224,1.302,0.009,0.924,1.096,0.949,0.011,0.915
Lowsync,0.124,0.093,0.123,0.093,0.002,0.923,0.109,0.084,0.003,0.917
Midsync,0.19,0.151,0.189,0.148,0.001,0.933,0.207,0.172,0.022,0.917
Hisync,0.157,0.164,0.151,0.165,0.002,0.901,0.125,0.125,0.008,0.879
Swingness,0.323,0.234,0.33,0.246,0.001,0.944,0.29,0.275,0.009,0.913
