,Ground Truth,Ground Truth,Random (Low),Random (Low),Random (Low),Random (Low),Random (High),Random (High),Random (High),Random (High)
,Intra-set,Intra-set,Intra-set,Intra-set,Inter-set,Inter-set,Intra-set,Intra-set,Inter-set,Inter-set
,mean,STD,mean,STD,KL,OA,mean,STD,KL,OA
Total Step Density,0.254,0.185,0.257,0.185,0.003,0.937,0.263,0.186,0.004,0.938
Avg Voice Density,0.045,0.033,0.044,0.033,0.001,0.954,0.043,0.031,0.001,0.956
Vel Similarity Score,0.246,0.308,0.27,0.317,0.004,0.858,0.165,0.226,0.013,0.833
Weak to Strong Ratio,1.222,1.378,1.402,1.957,0.096,0.907,1.116,0.96,0.011,0.915
Lowsync,0.124,0.093,0.117,0.092,0.036,0.925,0.108,0.086,0.002,0.92
Midsync,0.19,0.151,0.189,0.153,0.06,0.935,0.23,0.188,0.005,0.891
Hisync,0.157,0.164,0.151,0.157,0.005,0.884,0.143,0.152,0.005,0.902
Swingness,0.323,0.234,0.338,0.26,0.013,0.941,0.277,0.256,0.008,0.909
