,Ground Truth,Ground Truth,Random (Low),Random (Low),Random (Low),Random (Low),Random (High),Random (High),Random (High),Random (High)
,Intra-set,Intra-set,Intra-set,Intra-set,Inter-set,Inter-set,Intra-set,Intra-set,Inter-set,Inter-set
,mean,STD,mean,STD,KL,OA,mean,STD,KL,OA
Total Step Density,0.254,0.185,0.254,0.183,0.006,0.94,0.261,0.185,0.007,0.927
Avg Voice Density,0.045,0.033,0.041,0.03,0.007,0.95,0.043,0.031,0.001,0.957
Vel Similarity Score,0.246,0.308,0.259,0.319,0.003,0.863,0.131,0.206,0.03,0.805
Weak to Strong Ratio,1.222,1.378,1.17,1.049,0.01,0.92,1.262,1.355,0.007,0.918
Lowsync,0.124,0.093,0.116,0.091,0.001,0.924,0.104,0.084,0.003,0.915
Midsync,0.19,0.151,0.194,0.155,0.041,0.925,0.216,0.182,0.033,0.897
Hisync,0.157,0.164,0.151,0.149,0.002,0.899,0.147,0.149,0.004,0.895
Swingness,0.323,0.234,0.329,0.251,0.002,0.94,0.299,0.284,0.012,0.907
